Socket,Algorithm,Start Time,End Time,Execution Time,Power,Current,Voltage,Memory,CPU Usage,Read Bytes,Write Bytes,Signature,Num Files,Size,Avg File Size,CPU Count,Total RAM,Available RAM,System CPU,System Memory,Time Per File,Throughput
rpi3,Falcon-512,2026-01-15 17:16:56.318126,2026-01-15 17:19:15.567462,139.24929151699996,3.7747234042553197,0.04734042553191488,116.68540425531914,320.0015869140625,78.72930541022973,325058944,0,3277,5,310.0,62.0,4,923.20703125,730.96875,1.5,21.1,22.14504345360003,2.799723564774532
rpi3,Falcon-1024,2026-01-15 17:19:16.606948,2026-01-15 17:21:09.999268,113.3922976020001,3.884307692307693,0.048897435897435906,116.3260512820513,320.0105838775635,97.33465352945912,325058949,0,6355,5,310.0,62.0,4,923.20703125,730.96875,0.2,21.0,22.58499090119999,2.745185963156877
rpi3,ML-DSA-44,2026-01-15 17:21:11.038324,2026-01-15 17:22:57.632345,106.59398224100003,3.9057105263157896,0.04931578947368422,116.37963157894738,320.0151014328003,99.99626410336091,325058950,0,12100,5,310.0,62.0,4,923.20703125,730.96875,0.2,20.3,21.311947172200053,2.9091663703481148
rpi3,ML-DSA-65,2026-01-15 17:22:58.671578,2026-01-15 17:24:45.309938,106.63833904600006,3.8935789473684217,0.049315789473684216,116.25399999999998,320.01994705200195,100.0015575580179,325058950,0,16545,5,310.0,62.0,4,923.20703125,730.96875,0.2,20.8,21.32017539999997,2.908043617689941
rpi3,ML-DSA-87,2026-01-15 17:24:46.346378,2026-01-15 17:26:32.980086,106.63368448899996,3.891763157894738,0.04892105263157895,116.36207894736842,320.0246639251709,99.99654472316364,325058952,0,23135,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.8,21.31786151360002,2.908359262979838
rpi3,SPHINCS+-SHA2-128f-simple,2026-01-15 17:26:34.013170,2026-01-15 17:26:52.001993,17.988798621999877,4.192142857142858,0.05242857142857143,116.37042857142856,320.053448677063,99.95108832899452,325058952,0,85440,5,310.0,62.0,4,923.20703125,730.96875,0.2,20.7,3.5850786512000012,17.293902319059946
rpi3,SPHINCS+-SHA2-192f-simple,2026-01-15 17:26:53.039069,2026-01-15 17:27:29.253737,36.21464520999984,3.941333333333333,0.05016666666666667,116.25374999999998,320.107216835022,99.9871731174696,325058952,0,178320,5,310.0,62.0,4,923.20703125,730.96875,0.3,20.7,7.230714623600034,8.57453284045269
rpi3,SPHINCS+-SHA2-256f-simple,2026-01-15 17:27:30.290640,2026-01-15 17:28:09.738802,39.44813779099991,3.9774999999999996,0.0502857142857143,116.0462857142857,320.14710330963135,99.9793709121506,325058952,0,249280,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.7,7.864905920599949,7.88312036099607
rpi3,SLH_DSA_PURE_SHA2_128F,2026-01-15 17:28:10.775305,2026-01-15 17:28:33.624580,22.84925187099998,3.9921249999999997,0.0505,116.14224999999999,320.0528383255005,99.95950908567082,325058952,0,85440,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.7,4.559890784199979,13.596816883165271
rpi3,SLH_DSA_PURE_SHA2_192F,2026-01-15 17:28:34.661037,2026-01-15 17:29:20.755720,46.0946591930001,3.946533333333333,0.05013333333333335,116.19699999999999,320.10715198516846,99.96819763231404,325058952,0,178320,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.7,9.2097393948,6.7320037345471935
rpi3,SLH_DSA_PURE_SHA2_256F,2026-01-15 17:29:21.792065,2026-01-15 17:30:09.533854,47.741765816,3.9769411764705884,0.05,115.95194117647058,320.14780139923096,99.99630131820663,325058952,0,249280,5,310.0,62.0,4,923.20703125,730.96875,0.5,20.7,9.532691633999956,6.503934290590761
rpi3,SLH_DSA_PURE_SHAKE_128F,2026-01-15 17:30:10.569154,2026-01-15 17:31:51.601235,101.03205584900002,3.924885714285714,0.04942857142857143,116.25702857142858,320.05389499664307,99.99796515177007,325058952,0,85440,5,310.0,62.0,4,923.20703125,730.96875,0.3,20.7,20.182243695399983,3.0720073018507494
rpi3,SLH_DSA_PURE_SHAKE_192F,2026-01-15 17:31:52.637584,2026-01-15 17:33:37.730564,105.092957844,3.9647714285714293,0.04962857142857143,116.18262857142858,320.1071939468384,99.98767011199809,325058952,0,178320,5,310.0,62.0,4,923.20703125,730.96875,0.3,20.7,20.99262167060001,2.9534186331205348
rpi3,SLH_DSA_PURE_SHAKE_256F,2026-01-15 17:33:38.766898,2026-01-15 17:35:34.896862,116.12994185799994,3.9212249999999997,0.049375,116.176,320.14653873443604,100.00005006633012,325058952,0,249280,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.7,23.174359324200033,2.6753706168375473
rpi3,cross-rsdp-128-balanced,2026-01-15 17:35:35.923612,2026-01-15 17:37:02.084766,86.16112878500007,3.9323,0.04956666666666667,116.4246,320.04275703430176,99.98708375208533,325058953,0,65760,5,310.0,62.0,4,923.20703125,730.96875,0.2,20.7,17.2243150494,3.599562584763551
